what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380147750925
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1380147753299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147755710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147763346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147764591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147766779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380147770328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380147772559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380147773573
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380147781962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147792981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147794527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147795448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147798284
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380147799111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147810165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147811787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147816362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147820170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147824157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147829717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147831342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147833208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147842295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147842460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380147845301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380147855132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147858596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147859537
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380147860965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380147867722
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380147868426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380147872365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147873140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147874349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380147878046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380147879308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147883675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147885473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147890035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380147893859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380147895960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380147897028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147897914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147899387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147901628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147907176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147908695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147911782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147914570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147915927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147917818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147922155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147923773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147925673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147931295
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380147938874
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380147939632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147944871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147946942
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380147948770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147966541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147967573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147980451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147986116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147987045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147988672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380147993630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147994359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380147996443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380147997858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380148016425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148017879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148026035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380148048814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380148052029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148053597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148058611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380148069373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148070831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148072705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380148077355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148078998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148081309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380148083403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148084725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148086088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380148087965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148089493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380148115635
